
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  16.07.2017 20:35:57.112

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 19.513    , 0         , 0         , 0         , 0         , 0         , 1.01395   , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.988527  , 0         , 0         , 8.92      , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 6.08979   , 27.5849   , 13.4167   , 13.4445   , 1880      , 970.156   , 960       , 0         , 507.109   , 558.438   , 1021.56   , 0         , 35.5781   , 140.531   , 142.898   , 39.4688   , 739.334   , 33        , 2.16      , 2.90667   , 84        , 1.97754   , 1.45019   , 38.9531   , 8.62745   , 9.01961   , -0        , -0        , -0.21875  , 24.3137   , 13.9125   , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 18.75     
    0.050, 21.6126   , 0         , 0         , 0         , 0         , 0         , 1.00894   , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.986085  , 0         , 0         , 8.905     , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 6.07453   , 30.9357   , 13.9167   , 14.0833   , 1880      , 970.156   , 960       , 0         , 516.719   , 612.109   , 1024.69   , 0         , 36.3047   , 141.141   , 143.133   , 43.5234   , 739.334   , 33        , 2.27467   , 3.02134   , 84        , 2.05566   , 1.44043   , 39.0156   , 9.01961   , 9.80392   , -0        , -0        , -0.125    , 26.2745   , 13.9125   , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     
    0.100, 25.5127   , 0         , 0         , 0         , 0         , 0         , 1.00436   , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.986085  , 0         , 0         , 8.92      , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 6.05927   , 37.0941   , 16.7222   , 16.1389   , 1880      , 970.156   , 960       , 0         , 545.781   , 717.5     , 1024.69   , 0         , 38.5078   , 141.375   , 142.805   , 51.4922   , 739.334   , 33        , 2.52534   , 3.256     , 84        , 2.16308   , 1.44043   , 39.0547   , 10.5882   , 10.9804   , -0        , -0        , 0.0625    , 29.4118   , 13.9125   , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      
    0.150, 27.3712   , 0         , 0         , 0         , 0         , 0         , 1.00278   , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.984865  , 0         , 0         , 8.895     , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 5.9906    , 40.0666   , 19.9722   , 19.1667   , 1880      , 970.156   , 960       , 0         , 592.969   , 766.719   , 1018.36   , 0         , 42.0703   , 140.977   , 143.438   , 55.2188   , 739.334   , 33        , 3.096     , 3.82667   , 84        , 2.28027   , 1.43555   , 39.0938   , 12.549    , 12.549    , -0        , -0        , 0.09375   , 30.9804   , 13.6899   , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 20.25     , 18        
    0.200, 28.2471   , 0         , 0         , 0         , 0         , 0         , 0.987244  , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.983644  , 0         , 0         , 8.84      , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 5.90973   , 41.7054   , 20.6111   , 20.5833   , 1920      , 970.156   , 960       , 0         , 647.344   , 778.359   , 1015.08   , 0         , 46.1953   , 141.586   , 144.773   , 56.1094   , 736.619   , 33        , 3.33067   , 4.06134   , 84        , 2.28516   , 1.43066   , 39.1094   , 13.3333   , 12.9412   , -0        , -0        , -0.046875 , 32.1569   , 13.9125   , 21        , 21        , 21        , 21        , 21        , 21        , 18.75     
    0.250, 29.0253   , 0         , 0         , 0         , 0         , 0         , 0.987244  , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.986085  , 0         , 0         , 8.805     , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 5.83039   , 42.8315   , 20.5833   , 20.8333   , 1920      , 970.156   , 960       , 0         , 684.844   , 791.016   , 1018.36   , 0         , 49.0313   , 142.922   , 145.781   , 57.0703   , 736.619   , 33        , 3.22667   , 3.95734   , 84        , 2.30469   , 1.44043   , 39.1953   , 13.3333   , 13.3333   , -0        , -0        , 0.1875    , 32.9412   , 14.0238   , 21        , 21        , 21        , 21        , 21        , 21        , 18.75     
    0.300, 29.3579   , 0         , 0         , 0         , 0         , 0         , 0.987244  , 0.999726  , 0         , 3         , 1         , 1         , 1         , 1         , 0.989992  , 0         , 0         , 8.85      , 0         , 0         , 1.15      , 0         , 0         , 0         , 0         , 5.80445   , 43.0298   , 20.3056   , 20.3611   , 1920      , 970.156   , 960       , 0         , 709.219   , 796.016   , 1027.89   , 0         , 50.8828   , 143.953   , 144.492   , 57.4453   , 736.619   , 33        , 3.15467   , 3.88534   , 84        , 2.31933   , 1.45508   , 39.2656   , 13.7255   , 13.3333   , -0        , -0        , -0.265625 , 32.9412   , 14.0238   , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 20.25     
    0.490, 61.6913   , 0         , 0         , 0         , 0         , 0         , 0.987244  , 0.999726  , 0         , 3         , 1.03711   , 1         , 1         , 1         , 0.978517  , 380       , 0         , 17.41     , 0         , 0         , 1.15      , 0         , 0         , 0         , 163.835   , 5.65644   , 94.2292   , 36.5834   , 28.2778   , 1920      , 970.156   , 1780      , 823.438   , 857.422   , 1703.91   , 1027.89   , 0         , 62.0625   , 144.773   , 147.609   , 126       , 735.838   , 33        , 3.97334   , 4.72001   , 84        , 2.57812   , 1.41113   , 39.5234   , 23.1373   , 23.9216   , -0        , -0        , 0.0625    , 67.8432   , 13.0221   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     
