
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: Audi A6 allroad 2.7T BEL 250HP 4Z7907551R.ori.ecu

ECU identified with following data:
HWNumber    = 0261207769       (requested was 0261207769)
SWNumber    = 1037366370       (requested was 1037366370)
PartNumber  = 4Z7907551R       (requested was 4Z7907551R)
SWVersion   = 0003            
EngineId    = 2.7L V6/5VT      (requested was 2.7L V6/5VT)
VAGHWNumber = 
ModelId     = G01

Log packet size: 34 bytes
Logging with:    10 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  16.10.2013 18:03:56.819

TimeStamp, gangi     , milsol_w  , misol_w   , misopl1_w , mshfm_w   , nmot      , perffilt_w, perfmax_w , plsol     , pvdkds_w  , rl        , rlmax_w   , rlmx_w    , rlsol_w   , tans      , uhfm_w    , wdkba     , wkr_0     , wkr_1     , wkr_2     , wkr_3     , wkr_4     , wkr_5     
  sec.ms , gear      , , , , g/s       , rpm       , , , mbar      , mbar      , , , , , °C        , V         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","SelectedGear","Driver-req torque cyl. charge","","","MassAirFlow","EngineSpeed","CPU-Load","MAX-Load","BoostPressureDesired","BoostPressureActual","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","IntakeAirTemperature","MAFSensorVoltage","ThrottlePlateAngle","IgnRetardKnockControlCyl1","IgnRetardKnockControlCyl5","IgnRetardKnockControlCyl3","IgnRetardKnockControlCyl2","IgnRetardKnockControlCyl6","IgnRetardKnockControlCyl4"
    0.000, 0         , 10.4126   , 9.43604   , 10.4126   , 3.13889   , 760       , 66.65     , 75.825    , 960       , 953.359   , 23.25     , 114.398   , 109.547   , 22.0313   , 18        , 0.473633  , 1.17647   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.100, 0         , 10.6445   , 9.61915   , 10.6445   , 4.19445   , 760       , 66.425    , 75.825    , 960       , 954.258   , 21.75     , 114.398   , 109.547   , 22.4766   , 18        , 0.55664   , 1.17647   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.200, 0         , 10.5713   , 9.59473   , 10.5713   , 5.16667   , 760       , 66.475    , 75.825    , 960       , 954.336   , 21.75     , 114.398   , 109.547   , 22.3359   , 18        , 0.683593  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.300, 0         , 10.4675   , 9.49097   , 10.4675   , 4.97223   , 760       , 66.275    , 75.825    , 960       , 955.352   , 22.5      , 114.398   , 109.547   , 22.125    , 18        , 0.644531  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.400, 0         , 10.4401   , 9.46351   , 10.4401   , 4.69445   , 760       , 66.075    , 75.825    , 960       , 953.984   , 22.5      , 114.398   , 109.547   , 22.0547   , 18        , 0.615234  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.500, 0         , 10.4614   , 9.48487   , 10.4614   , 4.69445   , 760       , 66.1      , 75.825    , 960       , 955.43    , 21.75     , 114.398   , 109.547   , 22.1016   , 18        , 0.615234  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.600, 0         , 10.4187   , 9.44215   , 10.4187   , 4.47223   , 760       , 65.9      , 75.825    , 960       , 955.625   , 21.75     , 114.398   , 109.547   , 22.0078   , 18        , 0.595703  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.700, 0         , 10.4218   , 9.4452    , 10.4218   , 4.41667   , 760       , 66.175    , 75.825    , 960       , 955.195   , 21        , 114.398   , 109.547   , 22.0313   , 18        , 0.585937  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.800, 0         , 10.4126   , 9.43604   , 10.4126   , 4.44445   , 760       , 65.95     , 75.825    , 960       , 954.297   , 21        , 114.398   , 109.547   , 22.0078   , 18        , 0.59082   , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    0.900, 0         , 10.3699   , 9.39332   , 10.3699   , 4.41667   , 760       , 65.85     , 75.825    , 960       , 953.242   , 21        , 114.398   , 109.547   , 21.9141   , 18        , 0.595703  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.000, 0         , 10.3485   , 9.37195   , 10.3485   , 4.41667   , 760       , 65.95     , 75.825    , 960       , 955.508   , 20.25     , 114.398   , 109.547   , 21.8672   , 18        , 0.585937  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.100, 0         , 10.379    , 9.40247   , 10.379    , 4.5       , 760       , 65.875    , 75.825    , 960       , 955.703   , 20.25     , 114.398   , 109.547   , 21.9375   , 18        , 0.600586  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.200, 0         , 10.4004   , 9.42383   , 10.4004   , 4.5       , 760       , 66.1      , 75.825    , 960       , 955.664   , 20.25     , 114.398   , 109.547   , 21.9844   , 18        , 0.615234  , 1.56863   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.300, 0         , 12.2406   , 9.40858   , 12.2406   , 4.97223   , 760       , 66.05     , 75.825    , 960       , 953.672   , 21        , 114.398   , 109.547   , 25.7813   , 18        , 0.644531  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.400, 0         , 12.1246   , 9.29261   , 12.1246   , 7.75001   , 760       , 65.95     , 75.825    , 960       , 954.609   , 24        , 114.398   , 109.547   , 25.5      , 18        , 0.864257  , 2.7451    , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.500, 0         , 12.1643   , 9.23463   , 12.1643   , 6.13889   , 760       , 66.025    , 75.825    , 960       , 953.984   , 25.5      , 114.398   , 109.547   , 25.5703   , 18        , 0.737304  , 2.35294   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.600, 0         , 11.8988   , 8.96912   , 11.8988   , 5.63889   , 760       , 65.975    , 75.825    , 960       , 953.359   , 26.25     , 114.398   , 109.547   , 25.0313   , 18        , 0.688476  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.700, 0         , 11.9293   , 8.99964   , 11.9293   , 5.41667   , 760       , 66.075    , 75.825    , 960       , 955.078   , 25.5      , 114.398   , 109.547   , 25.0781   , 18        , 0.688476  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.800, 0         , 11.9537   , 9.02405   , 11.9537   , 5.30556   , 760       , 66.025    , 75.825    , 960       , 953.555   , 24.75     , 114.398   , 109.547   , 25.1484   , 18        , 0.678711  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    1.900, 0         , 11.966    , 9.03626   , 11.966    , 5.33334   , 760       , 66        , 75.825    , 960       , 955.703   , 24.75     , 114.398   , 109.547   , 25.1719   , 18        , 0.673828  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.000, 0         , 11.9598   , 9.03016   , 11.9598   , 5.38889   , 760       , 66.125    , 75.825    , 960       , 955.195   , 24.75     , 114.398   , 109.547   , 25.1719   , 18        , 0.683593  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.100, 0         , 12.1246   , 9.18885   , 12.1246   , 5.30556   , 760       , 66.05     , 75.825    , 960       , 953.555   , 24.75     , 114.398   , 109.547   , 25.5234   , 18        , 0.678711  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.200, 0         , 12.0575   , 9.12781   , 12.0575   , 5.38889   , 760       , 66.075    , 75.825    , 960       , 955.547   , 24.75     , 114.398   , 109.547   , 25.4063   , 18        , 0.683593  , 1.96079   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.300, 0         , 16.7328   , 14.0961   , 16.7328   , 5.66667   , 760       , 66.075    , 75.825    , 960       , 954.375   , 24.75     , 114.398   , 109.547   , 34.8984   , 18        , 0.9375    , 4.70588   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.400, 0         , 16.7359   , 13.9038   , 16.7359   , 9.25001   , 840       , 65.9      , 75.825    , 960       , 954.57    , 31.5      , 114.398   , 109.547   , 34.7109   , 18        , 0.957031  , 3.92157   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.500, 0         , 15.2008   , 12.0758   , 15.2008   , 8.69445   , 960       , 66.1      , 75.825    , 960       , 954.375   , 32.25     , 114.398   , 109.547   , 31.2891   , 18        , 0.932617  , 3.52941   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.600, 0         , 17.038    , 13.7177   , 17.038    , 8.36112   , 1000      , 66.2      , 75.825    , 960       , 954.023   , 32.25     , 114.398   , 109.781   , 34.7344   , 18        , 0.908203  , 3.52941   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.700, 0         , 17.2241   , 13.9038   , 17.2241   , 9.69445   , 1040      , 66.575    , 75.825    , 960       , 953.359   , 31.5      , 115.852   , 112.711   , 35.0391   , 18        , 1.00098   , 4.31373   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.800, 0         , 18.7744   , 15.4541   , 18.7744   , 11.1667   , 1080      , 66.9      , 75.825    , 960       , 953.828   , 32.25     , 117.773   , 114       , 38.0156   , 18        , 1.14258   , 5.09804   , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    2.900, 0         , 18.5639   , 15.2435   , 18.5639   , 11.7778   , 1080      , 67        , 75.825    , 960       , 953.555   , 34.5      , 119.227   , 115.734   , 37.5703   , 18        , 1.14258   , 5.4902    , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    3.000, 0         , 18.5089   , 15.1886   , 18.5089   , 12.3889   , 1080      , 67.425    , 75.825    , 960       , 955.586   , 36.75     , 119.789   , 115.195   , 37.4766   , 18        , 1.16699   , 5.4902    , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    3.100, 0         , 19.2658   , 15.9454   , 19.2658   , 12.3333   , 1040      , 67.425    , 75.825    , 960       , 954.18    , 38.25     , 118.688   , 113.695   , 39.0234   , 18        , 1.16699   , 5.4902    , -3        , -0        , -0.75     , -2.25     , -3        , -0        
    3.200, 0         , 19.4245   , 16.2018   , 19.4245   , 12.1389   , 1000      , 67.675    , 75.825    , 960       , 954.023   , 39        , 117.539   , 112.313   , 39.375    , 18        , 1.15723   , 5.4902    , -3        , -0        , -0.75     , -2.25     , -3        , -0        
