
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: Audi A6 allroad 2.7T BEL 250HP 4Z7907551R.ori.ecu

ECU identified with following data:
HWNumber    = 0261207769       (requested was 0261207769)
SWNumber    = 1037366370       (requested was 1037366370)
PartNumber  = 4Z7907551R       (requested was 4Z7907551R)
SWVersion   = 0003            
EngineId    = 2.7L V6/5VT      (requested was 2.7L V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 34 bytes
Logging with:    10 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  16.10.2013 21:39:00.713

TimeStamp, gangi     , milsol_w  , misol_w   , misopl1_w , mshfm_w   , nmot      , perffilt_w, perfmax_w , plsol     , pvdkds_w  , rl        , rlmax_w   , rlmx_w    , rlsol_w   , tans      , uhfm_w    , wdkba     , wkr_0     , wkr_1     , wkr_2     , wkr_3     , wkr_4     , wkr_5     
  sec.ms , gear      , , , , g/s       , rpm       , , , mbar      , mbar      , , , , , °C        , V         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","SelectedGear","Driver-req torque cyl. charge","","","MassAirFlow","EngineSpeed","CPU-Load","MAX-Load","BoostPressureDesired","BoostPressureActual","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","IntakeAirTemperature","MAFSensorVoltage","ThrottlePlateAngle","IgnRetardKnockControlCyl1","IgnRetardKnockControlCyl5","IgnRetardKnockControlCyl3","IgnRetardKnockControlCyl2","IgnRetardKnockControlCyl6","IgnRetardKnockControlCyl4"
    0.000, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 58.7      , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.100, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 58.425    , 79.975    , 970       , 952.969   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.200, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 58.1      , 79.975    , 970       , 952.969   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.300, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 58        , 79.975    , 970       , 952.891   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.400, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.825    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.500, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.8      , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.600, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.675    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.700, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.675    , 79.975    , 970       , 952.656   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.800, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.6      , 79.975    , 970       , 953.008   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    0.900, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.625    , 79.975    , 970       , 950.898   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.000, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 952.539   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.100, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.6      , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.200, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.086   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.300, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 952.734   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.400, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 951.055   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.500, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 951.641   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.600, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.700, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 952.695   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.800, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 951.563   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    1.900, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 951.719   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.000, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.100, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.200, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.525    , 79.975    , 970       , 952.93    , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.300, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 952.383   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.400, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.086   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.500, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 952.813   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.600, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.5      , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.700, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 952.383   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.800, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.5      , 79.975    , 970       , 951.367   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    2.900, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 952.969   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    3.000, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    3.100, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    3.200, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.525    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0         , 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    3.300, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.575    , 79.975    , 970       , 953.047   , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
    3.400, 0         , 17.1875   , 17.1875   , 16.9327   , 0         , 0         , 57.55     , 79.975    , 970       , 951.25    , 99.75     , 109.523   , 109.547   , 39        , 55.5      , 0.00488281, 4.70588   , -0        , -0        , -0        , -0        , -0        , -0        
